transaction_id,description,category,bucket
1,small charge deducted by the bank,Other,nlp_hard
2,Picked up a few things from the general store,Shopping,nlp_hard
3,hostel rent,Bills,dictionary
4,Booked a cab to the airport early morning,Travel,nlp_hard
5,IMPS transfer - BookMyShow,Entertainment,dictionary
6,upi/universitybookstore/education,Education,dictionary
7,train ticket for the trip next month,Travel,nlp_hard
8,NEFT credit from HP petrol pump fuel fill,Travel,regex
9,IMPS transfer - Freelance Payment - Upwork,Income,dictionary
10,UPI/ChaiPoint/Food,Food,dictionary
11,POS purch@se at Third Wave Coffee,Food,dictionary
12,Payment to Zomato via UPI,Food,dictionary
13,Payment to Misc UPI transfer to unknown via UPI,Other,regex
14,Home broadband renewal,Bills,regex
15,wifi connection renewed for the flat,Bills,nlp_hard
16,Picked up @ birthday present for a friend,Shopping,nlp_hard
17,pos purchase at zomato,Food,dictionary
18,Zomato,Food,dictionary
19,booked a cab to the airport early morning,Travel,nlp_hard
20,Flight booked for the semester break,Travel,nlp_hard
21,Donated a small amount to a fundraiser,Other,nlp_hard
22,IMPS transfer - Airtel Postpaid,Bills,dictionary
23,imps transfer - rapido cab ride,Travel,regex
24,Auto-debit - Hostel Rent,Bills,dictionary
25,NEFT credit from Scholarship Disbursement,Income,dictionary
26,UPI/Udemy/Education,Education,dictionary
27,picked up prescribed tablets today,Medical,nlp_hard
28,NEFT credit from Timezone gaming zone,Entertainment,regex
29,Shared an auto to the railway station,Travel,nlp_hard
30,Paid back a friend for lending cash,Other,nlp_hard
31,Metro medical store purchase,Medical,regex
32,Payment to Society maintenance charge via UPI,Bills,regex
33,Payment to Local Bookstore via UPI,Shopping,dictionary
34,Payment to Zomato via UPI,Food,dictionary
35,Amazon India,Shopping,dictionary
36,Auto-debit - Netflix Subscription,Bills,dictionary
37,tickets booked for the concert downtown,Entertainment,nlp_hard
38,Auto-debit - Vodafone Idea electricity bill payment,Bills,regex
39,Payment to Third Wave Coffee via UPI,Food,dictionary
40,IMPS transfer - Ola Cabs,Travel,dictionary
41,Warden collected the room deposit this week,Bills,nlp_hard
42,Thyrocar3 lab test payment,Medical,regex
43,Auto-debit - ATM withdrawal at HDFC,Other,regex
44,subscribed to a music streaming service,Entertainment,nlp_hard
45,Train ticket for the trip next month,Travel,nlp_hard
46,id card renewal charge at admin office,Education,nlp_hard
47,Bought a thermometer and bandages,Medical,nlp_hard
48,Grabbed a quick bite between classes,Food,nlp_hard
49,Payment to Third Wave Coffee via UPI,Food,dictionary
50,Annual ch3ckup at the clinic,Medical,nlp_hard
51,UPI/AmazonIndia/Shopping,Shopping,dictionary
52,IMPS transfer - 1mg Online Pharmacy,Medical,dictionary
53,POS purchase at Swiggy,Food,dictionary
54,Auto-debit - HDFC cashback credited,Income,regex
55,College semester fee installment,Education,regex
56,Annual maintenance charge for the apartment,Bills,nlp_hard
