transaction_id,description,category,bucket,hybrid_pred,hybrid_conf,hybrid_stage,hybrid_correct,baseline_pred,baseline_conf,baseline_stage,baseline_correct
202,Amount received from a part time gig,Income,nlp_hard,Income,0.8565462136106348,nlp_fallback,True,Other,0.5,default_other,False
367,Picked up a few things from the general store,Shopping,nlp_hard,Shopping,0.75,regex,True,Shopping,0.75,regex,True
380,POS purchase at City Care pharmacy purchase,Medical,regex,Medical,0.75,regex,True,Medical,0.75,regex,True
26,UPI/Udemy/Education,Education,dictionary,Education,0.95,dictionary,True,Education,0.95,dictionary,True
167,Spent the evening at a rooftop lounge,Entertainment,nlp_hard,Entertainment,0.5920134840385255,nlp_fallback,True,Other,0.5,default_other,False
165,Auto-debit - Vijay electronics store purchase,Shopping,regex,Shopping,0.75,regex,True,Shopping,0.75,regex,True
465,UPI/UnidentifiedMerchant/Other,Other,dictionary,Other,0.95,dictionary,True,Other,0.5,default_other,True
241,Auto-debit - Local Bookstore,Shopping,dictionary,Shopping,0.95,dictionary,True,Shopping,0.95,dictionary,True
201,Sold old textbooks to a junior,Income,nlp_hard,Food,0.20194855947746218,nlp_fallback,False,Education,0.75,regex,False
102,Picked up prescribed tablets today,Medical,nlp_hard,Medical,0.8231869506566637,nlp_fallback,True,Other,0.5,default_other,False
237,Indigo flight ticket,Travel,regex,Travel,0.75,regex,True,Travel,0.75,regex,True
235,Treated myself to a milkshake,Food,nlp_hard,Food,0.8378130930771532,nlp_fallback,True,Food,0.75,regex,True
210,Payment to Ola Cabs via UPI,Travel,dictionary,Travel,0.95,dictionary,True,Travel,0.95,dictionary,True
74,New charger for the laptop,Shopping,nlp_hard,Shopping,0.8169628090170629,nlp_fallback,True,Other,0.5,default_other,False
37,tickets booked for the concert downtown,Entertainment,nlp_hard,Entertainment,0.5132447830905913,nlp_fallback,True,Education,0.75,regex,False
179,NEFT credit from Uber,Travel,dictionary,Travel,0.95,dictionary,True,Travel,0.95,dictionary,True
427,Picked up a birthday present for a friend,Shopping,nlp_hard,Shopping,0.7920580543094061,nlp_fallback,True,Other,0.5,default_other,False
5,IMPS transfer - BookMyShow,Entertainment,dictionary,Entertainment,0.95,dictionary,True,Entertainment,0.95,dictionary,True
426,Misc upi transfer to unknown,Other,regex,Other,0.75,regex,True,Other,0.5,default_other,True
228,POS purchase at Scholarship Disbursement,Income,dictionary,Income,0.95,dictionary,True,Income,0.95,dictionary,True
297,Paid for lunch with the project team,Food,nlp_hard,Food,0.5772952561746334,nlp_fallback,True,Food,0.75,regex,True
168,hackathon prize money transfer,Income,regex,Income,0.75,regex,True,Other,0.5,default_other,False
119,Big bazaar department store,Shopping,regex,Shopping,0.75,regex,True,Shopping,0.75,regex,True
470,IMPS transfer - ATM Cash Withdrawal,Other,dictionary,Other,0.95,dictionary,True,Other,0.95,dictionary,True
114,NEFT credit from Udemy,Education,dictionary,Education,0.95,dictionary,True,Education,0.95,dictionary,True
213,POS purchase at Society maintenance charge,Bills,regex,Bills,0.75,regex,True,Shopping,0.75,regex,False
