transaction_id,description,category,bucket
316,UPI/UniversityBookstore/Education,Education,dictionary
89,IMPS transfer - Flipkart,Shopping,dictionary
374,amount received from a part time gig,Income,nlp_hard
402,Bought a thermometer and bandages,Medical,nlp_hard
360,Flipkart,Shopping,dictionary
408,NEFT credit from City Centre shopping mall purchase,Shopping,regex
144,Got paid for the tutoring session,Income,nlp_hard
419,POS purchase at Scholarship Disbursement,Income,dictionary
417,POS purchase at Jio Fiber Broadband,Bills,dictionary
326,Subscribed to a music streaming service,Entertainment,nlp_hard
331,Fun world amusement park,Entertainment,regex
383,Payment to HDFC cashback credited via UPI,Income,regex
447,bought a new pair of shoes,Shopping,nlp_hard
248,Payment to Swiggy via UPI,Food,dictionary
312,Payment to Skin clinic consultation via UPI,Medical,regex
363,UPI/Croma/Shopping,Shopping,dictionary
328,NEFT credit from Monthly wifi bill - ACT Fibernet,Bills,regex
288,UPI/Uber/Travel,Travel,dictionary
420,Parents sent money for the month,Income,nlp_hard
12,Payment to Zomato via UPI,Food,dictionary
21,Donated a small amount to a fundraiser,Other,nlp_hard
471,Payment to IndiGo flight ticket via UPI,Travel,regex
120,City centre shopping mall purchase,Shopping,regex
23,imps transfer - rapido cab ride,Travel,regex
351,college semester fee installment,Education,regex
371,Ola Cabs,Travel,dictionary
410,Payment to Scholarship Disbursement via UPI,Income,dictionary
13,Payment to Misc UPI transfer to unknown via UPI,Other,regex
230,upi/redbus/travel,Travel,dictionary
339,POS purchase at Hostel mess food payment,Food,regex
391,NEFT credit from PVR movie ticket booking,Entertainment,regex
342,Home broadband renewal,Bills,regex
364,Bought a study table lamp,Shopping,nlp_hard
62,IMPS transfer - Petty transfer to roommate,Other,regex
399,IMPS transfer - Chai Point,Food,dictionary
347,POS purchase at INOX Movies,Entertainment,dictionary
279,POS purchase at Miscellaneous POS,Other,dictionary
65,upi/indigoairlines/travel,Travel,dictionary
90,Auto-debit - Gaming Zone Arcade,Entertainment,dictionary
432,UPI/CampusCafeteria/Food,Food,dictionary
133,UPI/INOXMovies/Entertainment,Entertainment,dictionary
